Author,Published At,Comment,Likes
@IlhamRipaldi,2025-03-29T10:10:01Z,Orang indonesia mah oke oke,0
@muhamadadysyaputra5383,2025-03-29T10:07:35Z,"Itu yang ngatain sumatra ,,,ingat boyy jawa,jakarta,yg bantu nampung warga kalian sumatra dimasa anggota dewan bernyanyi",0
@makeImeng,2025-03-29T10:07:01Z,osks,0
@ShinichiiKudoo,2025-03-29T10:05:28Z,"SEMUA SETTINGAN,<br>DEDY, BOBON, WS SEMUA SETTINGAN<br><br>ORANG INDONESIA KAN SUKA DRAMA2 SETTINGAN BEGINI 😂😂😂",0
@nanikratnawati1123,2025-03-29T10:04:15Z,"Kokean,polah😂😂😂,memalukan",0
@BenxxxBenxxx,2025-03-29T10:01:32Z,Om dedy denger wily salim waktu di telpon mau ketawa tapi taku dosa😂,0
@muhamadjuliantoadiyoga3310,2025-03-29T10:00:49Z,Willi Salim cuman spam di sosmed demi follower,0
@anakpakOmad,2025-03-29T09:59:36Z,"Aku aja dr awal tahu konten &quot;Willie salim masak rendang hilang&quot; aja dah tahu itu settingan.<br>Dari awal dia bikin konten bagiku udah settingan semua.<br>Eits..... Ini pendapat aku loh, kalau kalian gk sependapat itu urusan kalian.<br><br><br><br><br>Willie salim atau Willie ZALIM",0
@DediIded-b5d,2025-03-29T09:58:24Z,Mana mungkin,0
@muqsithramadhan5688,2025-03-29T09:58:11Z,"Wiily salim kayaknya niatnya bikin konten masak2, tapi nggak mikir gimana cara masaknya, rendang nggak mungkin mateng secepet itu, jadi buat nyelametin muka dia dia bikin skenario rendang ilang. Jahat banget sih. Dan dia tipe orang yang nggak mau ngeakui kesalahan, klarifikasi dia juga nggak terus terang, yg dipermasalahkan org2 kan framming nya dia ke warga palembang, tapi dia nggak mau mengakui framing itu dan minta maaf",0
@hokkopmanurung9607,2025-03-29T09:56:21Z,"Inti nya siapa yang cerdik dia yang menang...<br>Lihat bobon kasih pesan di awal Minta dia kalau bisa stop?<br>sama Hal nya Dunia politik agar bisa jadi no satu.  ...<br> Anda pikir jadi gubernur, mentri, president bisa main cuman  sama dengan etika Dan adab? Gak selalu...Dunia sepi karena gak ada garamnya.<br> Nama nya gak akan muncul Dan dikenal orang siapa dia.<br>Harus ada namanya cerdik Dan kotor...<br>Segala yang selalu baik cuman pasti akan menjadi yang di injak injak orang. .<br>bahkan segala pemuka agama harus cerdik membawakan segala sudut pandang agar bisa jadi di pandang...<br>Untuk menjadi kuat harus bisa mendoktrin yang Salah jadi benar ,yang benar jadi Salah...",0
@Cryptofighter2022,2025-03-29T09:56:00Z,willy salim tukang pamer n gk jujur2 amat,0
@irfan_chanell5794,2025-03-29T09:54:27Z,Koh bobon si Edo ga pernah keliatan kemna 😅😅,0
@dikirnafas1220,2025-03-29T09:53:33Z,Gak masuk akal Wili Salim berati kalau bukan seting orang Palembang bayak maling masak serendah itu kota Palembang,0
@BurhanSagala-p9o,2025-03-29T09:51:20Z,Wili Salim anjjj,0
@Cryptofighter2022,2025-03-29T09:50:43Z,Aku gk pernah nonton konten tukang pamer. Gk mendidik n bukan budaya kita,0
@JamalAmal-l8q,2025-03-29T09:49:21Z,Maklumin aja bang<br>Skil nya cuma bagi2 iphone,0
@yogirezaanggara,2025-03-29T09:45:49Z,blacklist aja konten kreator ga punya otak gt<br><br>awas kalo komen jelek² nanti do serang oenyepong WS😂😂,0
@Hadad-Alwi-short,2025-03-29T09:45:18Z,Sumpah ini si wilie kayaknya Kurang Pergaulan. NGOMONG AJA KAGAK NYAMBUNG,1
@raizokid1507,2025-03-29T09:41:32Z,auto unsubscribe all in ws,0
@faizalrahman2770,2025-03-29T09:40:23Z,"Mr Fellix a.k.a PewdiePie pernah mengatakan, dia pernah toxic sampai dia melakukan hal yang tidak baik dan membenci salah satu personalia, yang mana dia dibutakan akan sebuah hal yang seharusnya kita lihat karena fans tetap mendukungnya karena kamu menyukai pewdiepie, bukannya menegur, yang mana ini hal yang baik untuk kita introspeksi diri dan menjadi diri lebih baik. Jadi terlepas willie settingan atau tidak, lebih baik kita tunggu case penyelesaian antara willie dan kota palembang, jangan saling menghujat .",0
@jlnpintas,2025-03-29T09:36:26Z,gak pernah bosan sama kontennya Bobon Santoso dan gak pernah nonton sama sekali kontennya willie salim,1
@yetnosundaga8775,2025-03-29T09:34:45Z,"Masih jga ngalor ngibul ni WS&quot; Bkan nya malah jelas masalah malah tmbah runyan,,, cuuuuk&quot;",0
@penjelajahduniatalent6786,2025-03-29T09:31:17Z,Tanda2 orang dosa nya dihapus salah 1 satunya . Lebih gampang menitiskan air mata ??? Dan saya rasa anda termasuk orang itu . Semoga lebih berkah lagi ramadhan tahun ini next tahun depan.  Aamiinnnn,0
@Fannz0911,2025-03-29T09:28:40Z,ketemu dijalan kocek palaknyo bae sih menurut aku,0
@FauziQurniawan-z6i,2025-03-29T09:28:34Z,Ini namanya wili ngotorin nama palembang 😂😂hadeh ireng Ireng,0
